id,elemento,precio
-6150193972236684151,a,15.0
-6150193972236684151,aa,4.0
-6150193972236684151,aa,13.0
-6150193972236684151,a,3.0
-9120451675344070327,margarita,10.0
-9120451675344070327,agua,1.0
-9120451675344070327,patatas,3.0
-9120451675344070327,helado,2.0
-6950839122180046628,Precio del Combo: (margarita+agua+alitas de pollo+helado),15.3
-4922482105954432299,margarita,10.0
-4922482105954432299,agua,1.0
-4922482105954432299,alitas de pollo,5.0
-4922482105954432299,helado,2.0
-815055339259743779,Precio del Combo: (a+aa+aa+a),29.75
-7817847524191818110,a,15.0
-7817847524191818110,aa,4.0
-7817847524191818110,aa,13.0
-7817847524191818110,a,3.0
-2746712166074832533,a,15.0
-2746712166074832533,aa,4.0
-2746712166074832533,aa,13.0
-2746712166074832533,a,3.0
3335104775810638286,a,15.0
3335104775810638286,aa,4.0
3335104775810638286,aa,13.0
3335104775810638286,a,3.0
-7727074720824554098,a,15.0
-7727074720824554098,aa,4.0
-7727074720824554098,aa,13.0
-7727074720824554098,a,3.0
8116376870155683661,margarita,10.0
8116376870155683661,agua,1.0
8116376870155683661,alitas de pollo,5.0
8116376870155683661,helado,2.0
-163926517945535933,hawaiana,14.0
-163926517945535933,coca-cola,2.0
-163926517945535933,patatas,3.0
-163926517945535933,helado,2.0
-9042931970557048332,aa,4.0
666965127924555278,margarita,10.0
666965127924555278,barbacoa,15.0
666965127924555278,margarita,10.0
666965127924555278,barbacoa,15.0
666965127924555278,agua,1.0
666965127924555278,agua,1.0
666965127924555278,coca-cola,2.0
666965127924555278,coca-cola,2.0
666965127924555278,alitas de pollo,5.0
666965127924555278,alitas de pollo,5.0
666965127924555278,patatas,3.0
666965127924555278,patatas,3.0
666965127924555278,tarta de queso,4.0
666965127924555278,tarta de queso,4.0
666965127924555278,tarta de queso,4.0
666965127924555278,tarta de queso,4.0
-6651242746820595351,a,15.0
-6651242746820595351,aa,4.0
-6651242746820595351,aa,13.0
-6651242746820595351,a,3.0
-2510220584450557193,a,15.0
-2510220584450557193,aa,4.0
-2510220584450557193,aa,13.0
-2510220584450557193,a,3.0
-8325954202378839760,a,15.0
-8325954202378839760,agua,1.0
-8325954202378839760,aa,13.0
-8325954202378839760,a,3.0
-3794428479923230491,margarita,10.0
-3794428479923230491,barbacoa,15.0
-3794428479923230491,margarita,10.0
-3794428479923230491,barbacoa,15.0
-3794428479923230491,agua,1.0
-3794428479923230491,agua,1.0
-3794428479923230491,coca-cola,2.0
-3794428479923230491,coca-cola,2.0
-3794428479923230491,alitas de pollo,5.0
-3794428479923230491,alitas de pollo,5.0
-3794428479923230491,patatas,3.0
-3794428479923230491,patatas,3.0
-3794428479923230491,tarta de queso,4.0
-3794428479923230491,tarta de queso,4.0
-3794428479923230491,tarta de queso,4.0
-3794428479923230491,tarta de queso,4.0
577850839442658091,a,15.0
577850839442658091,aa,4.0
577850839442658091,aa,13.0
577850839442658091,a,3.0
4667708759056437292,barbacoa,15.0
4667708759056437292,barbacoa,15.0
4667708759056437292,barbacoa,15.0
4667708759056437292,barbacoa,15.0
4667708759056437292,barbacoa,15.0
4667708759056437292,barbacoa,15.0
4667708759056437292,agua,1.0
4667708759056437292,agua,1.0
4667708759056437292,agua,1.0
4667708759056437292,agua,1.0
4667708759056437292,agua,1.0
4667708759056437292,agua,1.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,alitas de pollo,5.0
4667708759056437292,tarta de chocolate,5.0
4667708759056437292,tarta de chocolate,5.0
4667708759056437292,tarta de chocolate,5.0
4667708759056437292,tarta de chocolate,5.0
4667708759056437292,tarta de chocolate,5.0
4667708759056437292,tarta de chocolate,5.0
-5575114428119208821,patatas,3.0
-4181616957477399074,agua,1.0
-2026180882667458929,fanta,2.0

